,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate
output71Cp53_L6G_Glac_Wael_T,0,-62.3034930400614,39.79454353620051,0.0,0.11676796577891416,1.5510874508377554e-12,0.0,True,log,3e+21,5e+20,71.0,L6G,Glac,T
output71Cp340_L6G-32_Glac_Wael_T,1,-62.98395265330025,52.95911944077936,0.6804596132388525,0.059129452701957554,1.3398740842981988e-11,0.0,True,log,4e+22,3e+20,71.0,L6G-32,Glac,T
output71Cp43_Lambeck_Glac_Wael_T,2,-63.0294826676043,40.759167250615846,0.7259896275429014,0.05649765538282489,1.1238691108401036e-11,0.0,True,log,3e+21,4e+20,71.0,Lambeck,Glac,T
output71Cp53_L6G-47_Glac_Wael_T,3,-63.189179114256525,37.47124434044838,0.885686074195128,0.048158742654610766,9.718129830641907e-12,0.0,True,log,3e+21,5e+20,71.0,L6G-47,Glac,T
output71Cp410_L6G-32_Glac_Wael_S,4,-63.19405518970876,33.294289152641774,0.8905621496473657,0.04792448857615813,3.5303502453153982e-12,0.0,True,log,1e+22,4e+20,71.0,L6G-32,Glac,S
output71Cp440_L6G-32_Glac_Wael_T,5,-63.44863553362903,47.33779869606089,1.1451424935676329,0.03715306509258529,9.206539133495274e-12,0.0,True,log,4e+22,4e+20,71.0,L6G-32,Glac,T
output71Cp33_L6G-47_Glac_Wael_T,6,-63.48837541839804,38.02729404514457,1.1848823783366456,0.035705558924990215,1.1740263177308608e-11,0.0,True,log,3e+21,3e+20,71.0,L6G-47,Glac,T
output71Cp53_Lambeck_Glac_Wael_T,7,-63.70674209284461,36.61844844112259,1.4032490527832095,0.028701222405991433,1.2266064755411911e-11,0.0,True,log,3e+21,5e+20,71.0,Lambeck,Glac,T
output71Cp37_L6G_Glac_Wael_T,8,-63.7408696579783,36.482252841754146,1.4373766179169039,0.02773824506726241,1.3071891208226566e-11,0.0,True,log,7e+21,3e+20,71.0,L6G,Glac,T
output71Cp45_L6G_Glac_Wael_T,9,-63.81804965234718,37.88075583347407,1.51455661228578,0.02567793736451436,2.7021631957443134e-12,0.0,True,log,5e+21,4e+20,71.0,L6G,Glac,T
output71Cp420_L6G-32_Glac_Wael_T,10,-63.83636722838477,49.1534145099359,1.532874188323376,0.025211861516174935,1.1721860122150324e-11,0.0,True,log,2e+22,4e+20,71.0,L6G-32,Glac,T
output71Cp33_Lambeck_Glac_Wael_T,11,-63.8713488530937,51.57847989261409,1.5678558130323026,0.024345157379201482,6.4496339082508565e-12,0.0,True,log,3e+21,3e+20,71.0,Lambeck,Glac,T
output71Cp35_L6G-32_Glac_Wael_S,12,-64.06823367348852,41.4277066558557,1.7647406334271238,0.019994318011356402,4.4074639435504555e-12,0.0,True,log,5e+21,3e+20,71.0,L6G-32,Glac,S
output71Cp55_L6G_Glac_Wael_T,13,-64.22289395423124,50.550663098416514,1.9194009141698416,0.017129255558010037,5.800127013941599e-12,0.0,True,log,5e+21,5e+20,71.0,L6G,Glac,T
