,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate
output_d6g_h6g_l96C.ump4.lm15,0,-11852.0875293297,143.04126196693323,0.0,,1.784626345752934e-07,0.0,True,log,1.5e+22,4e+20,96.0,h6g,l96C.ump4.lm15,S
output_d6g_h6g_l96C.ump4.lm10,1,-12331.363111332797,265.3311705635788,479.27558200309795,,1.7818306777825435e-08,0.0,True,log,1e+22,4e+20,96.0,h6g,l96C.ump4.lm10,S
output_d6g_h6g_l96C.ump4.lm9,2,-12584.957854963766,139.2249075054151,732.8703256340668,,3.733816096241386e-08,0.0,True,log,9e+21,4e+20,96.0,h6g,l96C.ump4.lm9,S
output_d6g_h6g_l96C.ump4.lm8,3,-12654.24322337974,201.7449435810595,802.1556940500413,,5.518497119089554e-08,0.0,True,log,8e+21,4e+20,96.0,h6g,l96C.ump4.lm8,S
output_d6g_h6g_l96C.ump4.lm7,4,-13628.066203894097,152.84204527527618,1775.9786745643978,,1.3002238951879318e-07,0.0,True,log,7e+21,4e+20,96.0,h6g,l96C.ump4.lm7,S
output_d6g_h6g_l96C.ump4.lm20,5,-13807.478931746142,162.00284689905857,1955.3914024164424,,2.1213567926294305e-08,0.0,True,log,2e+22,4e+20,96.0,h6g,l96C.ump4.lm20,S
output_d6g_h6g_l96C.ump4.lm40,6,-14559.460862747757,170.69991886354,2707.373333418058,,1.1324711247511276e-07,0.0,True,log,4e+22,4e+20,96.0,h6g,l96C.ump4.lm40,S
output_d6g_h6g_l96C.ump4.lm5,7,-14883.217322023858,159.99724997418343,3031.129792694159,,5.6399116620789817e-08,0.0,True,log,5e+21,4e+20,96.0,h6g,l96C.ump4.lm5,S
output_d6g_h6g_l96C.ump4.lm50,8,-15107.136757886103,230.9315617331922,3255.0492285564032,,1.9962728107453867e-07,0.0,True,log,5e+22,4e+20,96.0,h6g,l96C.ump4.lm50,S
output_d6g_h6g_l96C.ump4.lm30,9,-15630.924905063519,272.8970908877018,3778.8373757338195,,2.0260426193058454e-07,0.0,True,log,3e+22,4e+20,96.0,h6g,l96C.ump4.lm30,S
