,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
2125,52.12,4.39,-15.99,0.222,0.215,8165.0,145.0,145.0,0.2185,145.0
3785,54.94,5.75,-39.8,1.66,1.66,9152.0,327.0,428.0,1.66,377.5
3803,54.94,5.75,-39.89,1.66,1.66,9473.0,301.0,351.0,1.66,326.0
3831,55.32,6.5,-39.07,1.66,1.66,10040.0,210.0,333.0,1.66,271.5
4711,55.583,8.267000000000001,-2.2,0.45,0.45,2758.0,56.0,54.0,0.45,55.0
4712,55.583,8.267000000000001,-1.92,0.25,0.25,2153.0,278.0,288.0,0.25,283.0
4713,55.583,8.267000000000001,-1.27,0.23,0.23,1949.0,124.0,161.0,0.23,142.5
4714,55.583,8.267000000000001,-0.86,0.23,0.23,1823.0,109.0,95.0,0.23,102.0
4715,55.583,8.267000000000001,-0.93,0.25,0.25,1696.0,122.0,121.0,0.25,121.5
4716,55.583,8.267000000000001,-0.75,0.22,0.22,1693.0,145.0,131.0,0.22,138.0
4717,55.583,8.267000000000001,-0.68,0.25,0.25,1463.0,82.0,70.0,0.25,76.0
4718,55.583,8.267000000000001,-0.55,0.22,0.22,1460.0,103.0,76.0,0.22,89.5
4719,55.583,8.267000000000001,-0.74,0.23,0.23,1420.0,69.0,98.0,0.23,83.5
4720,55.583,8.267000000000001,-0.76,0.23,0.23,1372.0,72.0,142.0,0.23,107.0
4721,55.583,8.267000000000001,-0.61,0.23,0.23,1257.0,79.0,41.0,0.23,60.0
4722,55.583,8.267000000000001,-0.74,0.23,0.23,1249.0,168.0,101.0,0.23,134.5
4723,55.583,8.267000000000001,-0.6,0.23,0.23,1221.0,128.0,66.0,0.23,97.0
4724,55.583,8.267000000000001,-0.5,0.23,0.23,1119.0,114.0,117.0,0.23,115.5
4725,55.583,8.267000000000001,-0.63,0.23,0.23,1118.0,134.0,168.0,0.23,151.0
4726,55.583,8.267000000000001,-0.61,0.3,0.3,945.0,143.0,106.0,0.3,124.5
4727,55.583,8.267000000000001,-0.52,0.23,0.23,860.0,69.0,76.0,0.23,72.5
4728,55.583,8.267000000000001,-0.4,0.23,0.23,684.0,26.0,46.0,0.23,36.0
4729,55.583,8.267000000000001,-0.59,0.22,0.22,486.0,40.0,40.0,0.22,40.0
4730,55.583,8.267000000000001,-0.28,0.23,0.23,436.0,30.0,30.0,0.23,30.0
4731,55.583,8.267000000000001,-0.35,0.29,0.29,396.0,30.0,30.0,0.29,30.0
8024,52.62,5.78,-2.36,0.201,0.201,3608.0,126.0,89.0,0.201,107.5
8025,52.62,5.78,-2.855,0.2,0.2,3978.0,111.0,112.0,0.2,111.5
8026,52.62,5.78,-3.985,0.20199999999999999,0.20199999999999999,4908.0,250.0,304.0,0.20199999999999999,277.0
8027,52.62,5.78,-3.88,0.281,0.281,4920.0,84.0,120.0,0.281,102.0
8028,52.62,5.78,-4.115,0.20199999999999999,0.20199999999999999,4924.0,82.0,115.0,0.20199999999999999,98.5
8029,52.62,5.78,-4.675,0.2,0.2,5224.0,177.0,224.0,0.2,200.5
8030,52.62,5.78,-4.67,0.4,0.4,5452.0,364.0,192.0,0.4,278.0
8031,52.62,5.78,-4.405,0.301,0.301,5514.0,190.0,133.0,0.301,161.5
8032,52.62,5.78,-4.795,0.401,0.401,5623.0,150.0,120.0,0.401,135.0
8033,52.62,5.78,-4.92,0.301,0.301,5656.0,169.0,226.0,0.301,197.5
8034,52.62,5.78,-5.175,0.301,0.301,5728.0,122.0,164.0,0.301,143.0
8035,52.62,5.78,-5.365,0.20199999999999999,0.20199999999999999,5740.0,129.0,155.0,0.20199999999999999,142.0
8036,52.62,5.78,-5.715,0.20199999999999999,0.20199999999999999,5922.0,165.0,72.0,0.20199999999999999,118.5
8037,52.55,5.65,-5.35,0.5,0.5,6084.0,146.0,124.0,0.5,135.0
8038,52.32,5.28,-6.09,0.2,0.2,6292.0,85.0,105.0,0.2,95.0
8039,52.55,5.65,-6.2,0.5,0.5,6390.0,103.0,135.0,0.5,119.0
8040,52.32,5.28,-6.72,0.2,0.2,6513.0,101.0,120.0,0.2,110.5
8041,52.32,5.28,-7.08,0.2,0.2,6683.0,123.0,99.0,0.2,111.0
8042,52.32,5.28,-7.56,0.2,0.2,6819.0,140.0,122.0,0.2,131.0
8043,52.35,5.22,-9.19,0.2,0.2,7262.0,94.0,145.0,0.2,119.5
8044,52.35,5.22,-9.34,0.2,0.2,7266.0,93.0,54.0,0.2,73.5
8045,52.5,3.8,-26.0,2.0,2.0,9365.0,736.0,806.0,2.0,771.0
8046,52.5,3.8,-26.0,2.0,2.0,9365.0,736.0,806.0,2.0,771.0
8047,52.5,3.5,-28.0,2.0,2.0,9505.0,844.0,730.0,2.0,787.0
8048,52.5,3.5,-28.0,2.0,2.0,9505.0,844.0,730.0,2.0,787.0
8049,52.5,3.25,-33.0,2.0,2.0,9775.0,762.0,737.0,2.0,749.5
8050,52.5,3.25,-33.0,2.0,2.0,9775.0,762.0,737.0,2.0,749.5
8051,53.74,4.5,-42.5,2.0,2.0,9793.0,252.0,362.0,2.0,307.0
8054,54.0,4.7,-47.0,2.0,2.0,10701.0,259.0,384.0,2.0,321.5
8055,54.0,4.4,-46.0,2.0,2.0,11355.0,123.0,256.0,2.0,189.5
8057,53.68,6.9,-0.02,0.2,0.2,1108.0,307.0,220.0,0.2,263.5
8058,53.66,7.93,0.05,0.2,0.2,1125.0,205.0,203.0,0.2,204.0
8059,53.8,7.87,0.2,0.2,0.2,1004.0,348.0,331.0,0.2,339.5
8060,53.8,7.87,0.1,0.2,0.2,1096.0,159.0,155.0,0.2,157.0
8061,54.3,8.68,-0.3,0.2,0.2,1870.0,162.0,165.0,0.2,163.5
8062,53.68,6.9,0.08,0.2,0.2,1922.0,314.0,383.0,0.2,348.5
8063,53.6,6.68,-0.11,0.2,0.2,1669.0,279.0,262.0,0.2,270.5
8064,53.62,6.8,-0.1,0.2,0.2,1703.0,285.0,266.0,0.2,275.5
8065,53.31,7.35,-1.2,0.2,0.2,2350.0,191.0,327.0,0.2,259.0
8066,53.31,7.35,-1.2,0.2,0.2,2351.0,36.0,104.0,0.2,70.0
8067,53.31,7.35,-1.7,0.2,0.2,2510.0,152.0,193.0,0.2,172.5
8068,54.3,8.68,-0.9,0.2,0.2,2758.0,260.0,112.0,0.2,186.0
