,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
1871,48.29,-4.24,-0.418,0.85,0.8490000000000001,483.0,63.0,167.0,0.8495,115.0
1872,48.64,-4.4,-0.45299999999999996,0.8190000000000001,0.818,500.0,27.0,162.0,0.8185,94.5
1873,49.34,-0.58,0.473,3.6310000000000002,3.6310000000000002,615.0,293.0,297.0,3.6310000000000002,295.0
1876,49.34,-0.58,0.773,3.6310000000000002,3.6310000000000002,707.0,262.0,210.0,3.6310000000000002,236.0
1877,48.31,-4.26,-0.718,0.8490000000000001,0.8490000000000001,850.0,102.0,116.0,0.8490000000000001,109.0
1878,48.29,-4.34,-0.226,1.9340000000000002,1.9340000000000002,853.0,72.0,57.0,1.9340000000000002,64.5
1882,48.29,-4.34,-0.737,1.9340000000000002,1.9340000000000002,985.0,76.0,58.0,1.9340000000000002,67.0
1883,49.47,0.88,1.266,3.8930000000000002,3.8930000000000002,986.0,285.0,258.0,3.8930000000000002,271.5
1885,48.29,-4.24,-0.898,0.8490000000000001,0.8490000000000001,999.0,175.0,83.0,0.8490000000000001,129.0
1894,48.29,-4.24,-1.4180000000000001,0.8490000000000001,0.8490000000000001,1597.0,123.0,182.0,0.8490000000000001,152.5
1903,50.56,1.59,-0.263,4.817,4.817,2122.0,305.0,306.0,4.817,305.5
1904,49.19,-0.17,-1.785,1.847,1.847,2217.0,462.0,313.0,1.847,387.5
1905,49.19,-0.17,-1.995,1.847,1.847,2268.0,432.0,276.0,1.847,354.0
1906,49.19,-0.17,-1.875,1.847,1.847,2271.0,428.0,276.0,1.847,352.0
1908,48.29,-4.24,-0.8029999999999999,1.104,1.104,2372.0,319.0,213.0,1.104,266.0
1913,49.24,-0.16,-1.565,1.847,1.847,2594.0,250.0,244.0,1.847,247.0
1914,50.56,1.59,-1.263,4.819,4.819,2671.0,392.0,336.0,4.819,364.0
1917,48.29,-4.24,-1.703,1.104,1.104,2822.0,119.0,74.0,1.104,96.5
1920,49.34,-0.58,0.17300000000000001,3.6310000000000002,3.6310000000000002,2865.0,451.0,486.0,3.6310000000000002,468.5
1922,48.6,-1.79,0.032,5.902,5.902,2952.0,257.0,201.0,5.902,229.0
1929,50.26,1.66,-3.113,4.814,4.814,3071.0,386.0,331.0,4.814,358.5
