,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,rsl_er,age_er
2435,53.28,-2.78,-1.14,0.5,0.5,718.0,66.0,45.0,0.5,55.5
2436,53.76,-3.02,1.63,1.0,1.0,737.0,173.0,81.0,1.0,127.0
2455,53.69,-0.39,-1.33,0.21,0.21,990.0,73.0,63.0,0.21,68.0
2483,53.74,-2.99,0.6,1.0,1.0,1288.0,226.0,219.0,1.0,222.5
2499,54.2,-2.82,1.55,0.21,0.21,1455.0,72.0,93.0,0.21,82.5
2531,54.88,-3.63,-0.17,0.21,0.21,1678.0,185.0,144.0,0.21,164.5
2535,53.74,-2.99,-0.22,0.21,0.21,1738.0,576.0,454.0,0.21,515.0
2541,53.57,-0.5,-3.0,0.41,0.41,1773.0,124.0,158.0,0.41,141.0
2545,54.88,-3.63,0.51,0.34,0.34,1780.0,209.0,218.0,0.34,213.5
2550,53.48,-0.75,-3.07,0.21,0.21,1822.0,101.0,112.0,0.21,106.5
2561,53.69,-0.39,-2.03,0.41,0.41,1998.0,118.0,99.0,0.41,108.5
2571,53.27,0.32,-2.8,0.4,0.4,2096.0,211.0,149.0,0.4,180.0
2586,53.75,-0.01,-2.35,0.27,0.27,2237.0,110.0,86.0,0.27,98.0
2591,53.75,-2.99,-0.04,0.22,0.22,2251.0,187.0,135.0,0.22,161.0
2598,53.69,-0.39,-2.17,0.41,0.41,2348.0,336.0,195.0,0.41,265.5
2612,53.75,-0.01,-2.35,0.27,0.27,2419.0,280.0,107.0,0.27,193.5
2617,53.09,0.14,-2.88,0.39,0.39,2447.0,258.0,122.0,0.39,190.0
2622,53.75,-0.01,-2.22,0.27,0.27,2477.0,226.0,128.0,0.27,177.0
2625,54.23,-3.03,0.78,0.21,0.21,2504.0,224.0,168.0,0.21,196.0
2627,54.91,-3.15,1.05,0.21,0.21,2505.0,203.0,154.0,0.21,178.5
2632,53.12,0.2,-3.05,0.4,0.4,2545.0,185.0,191.0,0.4,188.0
2648,53.16,0.28,-3.25,0.21,0.21,2678.0,96.0,189.0,0.21,142.5
2650,54.91,-3.15,2.32,0.21,0.21,2711.0,129.0,223.0,0.21,176.0
2655,53.75,-0.01,-2.22,0.27,0.27,2725.0,112.0,234.0,0.27,173.0
2663,53.41,-3.1,-0.85,0.21,0.21,2753.0,91.0,130.0,0.21,110.5
2667,53.76,0.0,-3.97,0.21,0.21,2758.0,112.0,260.0,0.21,186.0
2676,55.24,-1.55,-0.69,0.41,0.41,2779.0,141.0,157.0,0.41,149.0
2684,54.57,-1.28,-0.84,0.21,0.21,2828.0,169.0,106.0,0.21,137.5
2686,53.09,0.14,-3.41,0.39,0.39,2838.0,120.0,88.0,0.39,104.0
2687,53.41,-3.15,-0.89,0.8,0.8,2849.0,112.0,94.0,0.8,103.0
2694,53.12,0.2,-3.42,0.53,0.53,2907.0,156.0,133.0,0.53,144.5
