,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,posterior_trace,posterior_predict,hmc_divergence_pct
output71Cp310_Colleoni_Glac_Wael_S,1e+22,3e+20,71.0,Colleoni,Wael,S,True,True,4.0
output71Cp310_Colleoni_Glac_Wael_T,1e+22,3e+20,71.0,Colleoni,Wael,T,True,True,3.0
output71Cp310_L6G-32_Glac_Wael_S,1e+22,3e+20,71.0,L6G-32,Wael,S,True,True,23.0
output71Cp310_L6G-32_Glac_Wael_T,1e+22,3e+20,71.0,L6G-32,Wael,T,True,True,27.0
output71Cp310_L6G-47_Glac_Wael_S,1e+22,3e+20,71.0,L6G-47,Wael,S,True,True,16.0
output71Cp310_L6G-47_Glac_Wael_T,1e+22,3e+20,71.0,L6G-47,Wael,T,True,True,25.0
output71Cp310_L6G_Glac_Wael_S,1e+22,3e+20,71.0,L6G,Wael,S,True,True,18.0
output71Cp310_L6G_Glac_Wael_T,1e+22,3e+20,71.0,L6G,Wael,T,True,True,27.0
output71Cp310_Lambeck_Glac_Wael_S,1e+22,3e+20,71.0,Lambeck,Wael,S,True,True,7.0
output71Cp310_Lambeck_Glac_Wael_T,1e+22,3e+20,71.0,Lambeck,Wael,T,True,True,29.0
output71Cp315_Colleoni_Glac_Wael_S,1.5e+22,3e+20,71.0,Colleoni,Wael,S,True,True,9.0
output71Cp315_Colleoni_Glac_Wael_T,1.5e+22,3e+20,71.0,Colleoni,Wael,T,True,True,2.0
output71Cp315_L6G-32_Glac_Wael_S,1.5e+22,3e+20,71.0,L6G-32,Wael,S,True,True,26.0
output71Cp315_L6G-32_Glac_Wael_T,1.5e+22,3e+20,71.0,L6G-32,Wael,T,True,True,26.0
output71Cp315_L6G-47_Glac_Wael_S,1.5e+22,3e+20,71.0,L6G-47,Wael,S,True,True,19.0
output71Cp315_L6G-47_Glac_Wael_T,1.5e+22,3e+20,71.0,L6G-47,Wael,T,True,True,25.0
output71Cp315_L6G_Glac_Wael_S,1.5e+22,3e+20,71.0,L6G,Wael,S,True,True,16.0
output71Cp315_L6G_Glac_Wael_T,1.5e+22,3e+20,71.0,L6G,Wael,T,True,True,43.0
output71Cp315_Lambeck_Glac_Wael_S,1.5e+22,3e+20,71.0,Lambeck,Wael,S,True,True,10.0
output71Cp315_Lambeck_Glac_Wael_T,1.5e+22,3e+20,71.0,Lambeck,Wael,T,True,True,23.0
output71Cp320_Colleoni_Glac_Wael_S,2e+22,3e+20,71.0,Colleoni,Wael,S,True,True,4.0
output71Cp320_Colleoni_Glac_Wael_T,2e+22,3e+20,71.0,Colleoni,Wael,T,True,True,3.0
output71Cp320_L6G-32_Glac_Wael_S,2e+22,3e+20,71.0,L6G-32,Wael,S,True,True,17.0
