,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale,LMV,UMV,lithosphere,ice_history,esl_curve,deglacial_rate,true_model
output96Cp510_Colleoni_Wael_S,0,-23.96548899255196,3.908472889365722,0.0,0.07721752907620642,3.8282622282186314e-13,0.0,True,log,1e+22,5e+20,96,Colleoni,Wael,S,False
output71Cp520_Colleoni_Wael_S,1,-24.209584070923718,3.55533762657209,0.2440950783717568,0.060493227308548586,5.0665732941126886e-14,0.0,True,log,2e+22,5e+20,71,Colleoni,Wael,S,False
output71Cp35_Colleoni_Wael_S,2,-24.378933141180894,3.3074967703123583,0.4134441486289333,0.05106923919240984,3.406255279516317e-13,0.0,True,log,5e+21,3e+20,71,Colleoni,Wael,S,False
output96Cp510_Lambeck_Wael_S,3,-24.40966230653399,4.099436643647742,0.4441733139820272,0.049523790874878584,1.6967233863217096e-13,0.0,True,log,1e+22,5e+20,96,Lambeck,Wael,S,False
output71Cp57_Colleoni_Wael_S,4,-24.44382186202565,4.065493548884078,0.47833286947368947,0.04786064802280712,3.916794245283798e-13,0.0,True,log,7e+21,5e+20,71,Colleoni,Wael,S,False
output96Cp520_Colleoni_Wael_S,5,-24.52869226293185,4.376325265575787,0.563203270379887,0.04396629077059331,1.99839560207647e-13,0.0,True,log,2e+22,5e+20,96,Colleoni,Wael,S,False
output71Cp510_Lambeck_Wael_S,6,-24.635725529381535,3.988120341097101,0.6702365368295737,0.039503526839588646,3.0641623082863434e-13,0.0,True,log,1e+22,5e+20,71,Lambeck,Wael,S,False
output71Cp330_Colleoni_Wael_S,7,-24.649038122140563,4.546244263471021,0.6835491295886023,0.03898111750093204,8.522150979444321e-13,0.0,True,log,3e+22,3e+20,71,Colleoni,Wael,S,False
output71Cp310_Colleoni_Wael_S,8,-24.721737838586733,4.781277113193262,0.7562488460347723,0.036247762156968136,4.1167945658249965e-13,0.0,True,log,1e+22,3e+20,71,Colleoni,Wael,S,False
output71Cp320_Colleoni_Wael_S,9,-24.87542579574969,4.885579672023177,0.9099368031977271,0.031083890313593078,6.497106672309645e-13,0.0,True,log,2e+22,3e+20,71,Colleoni,Wael,S,False
output96Cp57_Lambeck_Wael_S,10,-24.87632006600961,4.0539241476487895,0.9108310734576506,0.031056105340412178,4.182375499789938e-14,0.0,True,log,7e+21,5e+20,96,Lambeck,Wael,S,False
output71Cp57_Lambeck_Wael_S,11,-24.891201091419916,3.9168333681308454,0.9257120988679546,0.03059738026263026,6.457241390341117e-13,0.0,True,log,7e+21,5e+20,71,Lambeck,Wael,S,False
output96Cp57_Colleoni_Wael_S,12,-24.984132632715525,4.429515460304245,1.018643640163564,0.027882042724584468,2.851006132075999e-13,0.0,True,log,7e+21,5e+20,96,Colleoni,Wael,S,False
output96Cp310_Lambeck_Wael_S,13,-24.999000929003277,3.9257397197853017,1.0335119364513154,0.0274705509238051,7.167779945729255e-13,0.0,True,log,1e+22,3e+20,96,Lambeck,Wael,S,False
output96Cp330_Colleoni_Wael_S,14,-25.00266516711916,4.328162023420823,1.0371761745672003,0.027370076477612828,6.030918729923649e-13,0.0,True,log,3e+22,3e+20,96,Colleoni,Wael,S,False
output71Cp530_Colleoni_Wael_S,15,-25.07159915608574,4.428069882636187,1.1061101635337778,0.025546908934537083,2.7624755682774806e-13,0.0,True,log,3e+22,5e+20,71,Colleoni,Wael,S,False
output96Cp310_Colleoni_Wael_S,16,-25.124721346376667,4.548786267783534,1.1592323538247058,0.024225217546986984,7.096726052521074e-13,0.0,True,log,1e+22,3e+20,96,Colleoni,Wael,S,False
output71Cp310_Lambeck_Wael_S,17,-25.175218827761473,4.1725987347006,1.2097298352095116,0.023032278765113767,4.338696216457359e-13,0.0,True,log,1e+22,3e+20,71,Lambeck,Wael,S,False
output71Cp320_Lambeck_Wael_S,18,-25.189474969694785,4.124581386841779,1.2239859771428243,0.022706256759623792,2.064976738832869e-13,0.0,True,log,2e+22,3e+20,71,Lambeck,Wael,S,False
output96Cp530_Lambeck_Wael_S,19,-25.21848001786865,4.605647481635376,1.252991025316689,0.022057120314245327,3.6861564232978467e-13,0.0,True,log,3e+22,5e+20,96,Lambeck,Wael,S,False
output71Cp37_Colleoni_Wael_S,20,-25.242716302479675,4.862200021043069,1.2772273099277136,0.021528963797339526,6.190505464391208e-13,0.0,True,log,7e+21,3e+20,71,Colleoni,Wael,S,True
output71Cp55_Colleoni_Wael_S,21,-25.28274720971135,4.2811411819275875,1.317258217159388,0.020684161752317482,5.266807622566214e-13,0.0,True,log,5e+21,5e+20,71,Colleoni,Wael,S,False
output96Cp530_Colleoni_Wael_S,22,-25.455427378866162,5.119367278006109,1.4899383863142006,0.017403791860827637,3.757209299828706e-13,0.0,True,log,3e+22,5e+20,96,Colleoni,Wael,S,False
output71Cp530_Lambeck_Wael_S,23,-25.582919176942326,4.4514324865551735,1.617430184390365,0.01532056904326105,2.7646413431492655e-14,0.0,True,log,3e+22,5e+20,71,Lambeck,Wael,S,False
output71Cp330_Lambeck_Wael_S,24,-25.585955142844053,4.254098886081355,1.620466150292092,0.015274126852176552,2.411503693685171e-13,0.0,True,log,3e+22,3e+20,71,Lambeck,Wael,S,False
output71Cp510_Colleoni_Wael_S,25,-25.610996825765678,5.359113138265368,1.645507833213717,0.014896386378659058,6.3326130244282e-13,0.0,True,log,1e+22,5e+20,71,Colleoni,Wael,S,False
output96Cp320_Colleoni_Wael_S,26,-25.717443069709176,5.195257387010233,1.7519540771572153,0.013392199554669429,8.617070226396173e-14,0.0,True,log,2e+22,3e+20,96,Colleoni,Wael,S,False
output96Cp35_Colleoni_Wael_S,27,-25.952070354928306,4.269114439347593,1.986581362376345,0.01059142942706086,3.561529812496278e-13,0.0,True,log,5e+21,3e+20,96,Colleoni,Wael,S,False
output96Cp520_Lambeck_Wael_S,28,-26.022359272343753,5.443347977127491,2.0568702797917915,0.009872530583655578,4.4141663266078897e-13,0.0,True,log,2e+22,5e+20,96,Lambeck,Wael,S,False
output96Cp55_Lambeck_Wael_S,29,-26.02343941302288,4.240640310980819,2.0579504204709202,0.009861872618853204,1.99839560207647e-13,0.0,True,log,5e+21,5e+20,96,Lambeck,Wael,S,False
output96Cp37_Colleoni_Wael_S,30,-26.040753015641794,5.011818455288477,2.075264023089833,0.00969259768321501,7.665157395637717e-13,0.0,True,log,7e+21,3e+20,96,Colleoni,Wael,S,False
output71Cp37_Lambeck_Wael_S,31,-26.081983066796806,4.816565403024274,2.1164940742448444,0.009301097626820052,4.4852196229108985e-13,0.0,True,log,7e+21,3e+20,71,Lambeck,Wael,S,False
output48Cp310_Colleoni_Wael_S,32,-26.194537594924828,4.077492608604633,2.229048602372867,0.00831098296982448,3.193093792982585e-13,0.0,True,log,1e+22,3e+20,48,Colleoni,Wael,S,False
output71Cp55_Lambeck_Wael_S,33,-26.331393885248165,4.53545681040254,2.3659048926962036,0.007247971228339086,1.99839560207647e-13,0.0,True,log,5e+21,5e+20,71,Lambeck,Wael,S,False
output71Cp53_Colleoni_Wael_S,34,-26.350661826402103,3.3552120507582686,2.3851728338501417,0.007109654563095733,5.551022069669179e-13,0.0,False,log,3e+21,5e+20,71,Colleoni,Wael,S,False
output96Cp320_Lambeck_Wael_S,35,-26.391077030231028,5.279179150101914,2.4255880376790664,0.006828045401009625,3.3483718592158526e-13,0.0,True,log,2e+22,3e+20,96,Lambeck,Wael,S,False
output96Cp330_Lambeck_Wael_S,36,-26.541152776868422,5.118659863910711,2.575663784316461,0.005876507997462231,5.764183076311902e-13,0.0,True,log,3e+22,3e+20,96,Lambeck,Wael,S,False
output71Cp520_Lambeck_Wael_S,37,-26.578991317753964,5.490589666223254,2.6135023252020027,0.005658303807380229,6.030918729923649e-13,0.0,True,log,2e+22,5e+20,71,Lambeck,Wael,S,False
output48Cp330_Colleoni_Wael_S,38,-26.762780584762233,4.862091146025701,2.7972915922102715,0.004708337623824319,2.5536106698410525e-13,0.0,True,log,3e+22,3e+20,48,Colleoni,Wael,S,False
output96Cp35_Lambeck_Wael_S,39,-26.813317547715567,4.485267518818674,2.8478285551636056,0.004476305032854776,6.758935953590797e-13,0.0,True,log,5e+21,3e+20,96,Lambeck,Wael,S,False
output71Cp35_Lambeck_Wael_S,40,-26.889684184867633,4.796714307852547,2.924195192315672,0.0041471912567890975,6.048397950739062e-13,0.0,True,log,5e+21,3e+20,71,Lambeck,Wael,S,False
output48Cp330_Lambeck_Wael_S,41,-27.130006692198684,4.726588616421367,3.164517699646723,0.003261244242964289,3.8660479420422414e-14,0.0,True,log,3e+22,3e+20,48,Lambeck,Wael,S,False
output96Cp37_Lambeck_Wael_S,42,-27.168777581350316,5.59791840118411,3.2032885887983547,0.003137222652781127,1.927346352151476e-13,0.0,True,log,7e+21,3e+20,96,Lambeck,Wael,S,False
